회차,상호명,구분,소재지
1000,행운식품,자동,서울 관악구 신원로3길 21 
1000,로또백화점 홍은점,수동,서울 서대문구 세검정로 99-1 1층 좌측
1000,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1000,복권나라,수동,서울 성동구 용답중앙15길 12-1 1층
1000,티에스네트웍스,자동,"서울 영등포구 신길로28길  9 상가동 B2층 00006호(신길동, 힐스테이트클래시안)"
1000,서면로또,자동,부산 부산진구 중앙대로680번가길 55-5 
1000,로터리복권방,수동,부산 서구 자갈치로 4 
1000,로터리복권방,수동,부산 서구 자갈치로 4 
1000,수퍼복권대박,수동,인천 연수구 용담로 60 1층
1000,돈벼락맞는곳,수동,대전 서구 복수남로 16 
1000,와우복권방,자동,대전 중구 평촌로 94-1 
1000,웃는로또방,수동,경기 고양시 덕양구 토당로 102 
1000,강선복권,반자동,경기 고양시 일산서구 중앙로 1376 한양상가 1층 8호
1000,올웨이즈,자동,경기 군포시  산본로 378 산본사이버텔 사이버텔109호
1000,행운 아이스크림 판매점,자동,경기 부천시 부일로 434-1 1층
1000,복권방,수동,경기 안양시 동안구 부림로 194  
1000,복권나라,수동,경기 포천시 죽엽산로35번길 1 
1000,동탄복합문화센터복권판매점,자동,경기 화성시 동탄순환대로 725 106호
1000,더블로또,수동,강원 양구군 양구새싹로 22 1층 GS25
1000,복권명당,수동,충북 청주시 상당구 월평로 204 
1000,영유통(로또복권),수동,전북 군산시 미룡로 45 
1000,로또복권판매,수동,제주 서귀포시 표선동서로 230 
1001,행운복권,자동,서울 강북구 솔샘로 212 신영빌딩 1층
1001,복권백화점,자동,서울 은평구 연서로29길 7-2 1층
1001,빅세일복권방,자동,부산 부산진구 서면문화로 6 
1001,복권명당(동아스포츠점),자동,대구 수성구 지범로 91 1층
1001,최강복권&아이스크림,수동,경기 고양시 덕양구 삼송로 176-1 
1001,최강복권&아이스크림,수동,경기 고양시 덕양구 삼송로 176-1 
1001,대박복권방,자동,경기 남양주시 맷돌로 118 중흥프라자101호
1001,월산리주고받는로또,자동,경기 남양주시 경춘로 2244 1층 CU내
1001,소망로또,자동,경기 의정부시 평화로 176 
1001,법원로또,자동,강원 원주시 무실로 300 원주무실8단지엘에이치아파트 상가 101호
1001,영화유통,자동,경북 포항시 북구 양학천로 15 
1001,진양호,자동,경남 진주시 남강로 58 1층
1002,투데이,수동,서울 동대문구 천호대로 67 1층
1002,그린마트,자동,서울 송파구 백제고분로19길 26 1층
1002,진우복권,자동,부산 연제구 월드컵대로 119 204호(연산동)
1002,복권방,자동,인천 남동구 백범로 123 cu편의점
1002,복권판매점,수동,경기 성남시 수정구 남문로77번길 13-1  1층
1002,에이데이마트,자동,전남 목포시 백년대로375번길 42 에이데이마트
1002,동일설비 명성복권,자동,경북 안동시 경동로 913 
1002,행복충전,수동,경북 포항시 북구 삼흥로 441 3호
1003,가로판매대,자동,서울 강동구 올림픽로 648 천호역 3번 출구 앞(가판점)
1003,노다지복권방,자동,"서울 동대문구 한빛로 1-1,(신설동) "
1003,버스매표소,자동,인천 부평구 부평대로 3 가판
1003,노다지복권방,수동,인천 연수구 앵고개로 256 
1003,천복권방,자동,대전 대덕구 한밭대로1043번길 2 
1003,주엽역 로또판매점,자동,경기 고양시 일산서구 중앙로 1437 화성프라자 도로
1003,해뜰날,수동,경기 동두천시 중앙로 134-30 
1003,해뜰날,수동,경기 동두천시 중앙로 134-30 
1003,해뜰날,수동,경기 동두천시 중앙로 134-30 
1003,해뜰날,수동,경기 동두천시 중앙로 134-30 
1003,해뜰날,수동,경기 동두천시 중앙로 134-30 
1003,오이도직판장마트,자동,경기 시흥시 오이도로 167 오이도이주단지B
1003,떳다복권방,자동,전북 군산시 조촌로 90 
1003,로또복권판매,자동,제주 서귀포시 표선동서로 230 
1004,금손복권,자동,서울 마포구 새창로 22 1층(도화동)
1004,교통카드,자동,서울 서초구 강남대로 517 
1004,G마트,자동,서울 영등포구 디지털로 387 
1004,만복래,자동,인천 부평구 주부토로 20-2 1층
1004,잉크와복권,자동,"경기 광명시 시청로 69,(철산동) "
1004,대박로또,자동,충남 당진시 서해로 6869 
1004,천하명당복권방,자동,충남 홍성군 조양로 180 
1004,포시즌마트 빛가람희망로또,자동,전남 나주시 그린로 351 110호 포시즌마트
1004,로또야놀자,자동,"경북 경주시 양정로 211,(동천동) "
1004,로또월드,수동,경북 성주군 성주순환로 113 1층 창민전기
1005,스파,자동,서울 노원구 동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111
1005,부일카서비스,자동,부산 동구 자성로133번길 35 
1005,대박신화로또판매점,자동,인천 미추홀구 인하로 267 1층
1005,드림마트,수동,인천 서구 검단로 490 
1005,영화복권(버들점),자동,광주 서구 상무버들로 32 
1005,이전유통,자동,경기 고양시 일산동구 호수로446번길 54 1층
1005,마리오슈퍼,반자동,경기 부천시 송내대로265번길 85 뱅뱅프라자 1층 118호
1005,남문시장,수동,경기 수원시 팔달구 수원천로255번길 6 영동시장 영동시장 101호
1005,용꿈돼지꿈복권방,수동,경기 시흥시 하중로 235 법조타운103호
1005,도깨비복권방,자동,전북 군산시 문화로 29 
1005,복권명당,자동,경북 경주시 동문로 46 
1005,천하명당복권방,수동,경남 거제시 옥포성안로 60 
1006,다판다25 일광푸르지오점,자동,부산 기장군 해빛로 39-32 
1006,종로복권,수동,인천 서구 검단로 519 종로문고
1006,로또랑 슈퍼랑,자동,경기 고양시 일산동구 고양대로 739 1층 108호
1006,토큰박스,자동,경기 남양주시 진건오남로 112-1 동양할인마트 앞 로또판매점
1006,북문복권방,자동,경기 수원시 장안구 정조로 927-1 
1006,지니로또복권방,자동,경기 오산시 대호로 70 
1006,행운복권방,수동,경기 포천시 솔모루로 86-1 
1006,서울로또방,자동,충북 옥천군 삼금로 8 
1006,로또복권,자동,경남 창원시 의창구 원이대로69번길 24-4 1층 103호 태경동태탕
1007,소울로또,수동,서울 강동구 진황도로 119 
1007,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr) 
1007,뉴빅마트,자동,부산 기장군 정관중앙로 48 106호
1007,로또나라,자동,부산 북구 팽나무로 1 
1007,복권명당,반자동,대구 수성구 천을로 180 동서1차아파트상가108-112호
1007,로또명당 이천쌀유통,자동,인천 부평구 광장로 34 1층
1007,주엽역 로또판매점,자동,경기 고양시 일산서구 중앙로 1437 화성프라자 도로
1007,거진터미널로또복권판매점,수동,강원 고성군 거진읍 거진길 21-2 거진터미널
1007,로또명당인주점,자동,충남 아산시 서해로 519-2 
1008,포이로또방,수동,서울 강남구 개포로22길 19 1층
1008,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr) 
1008,어머화장품,자동,서울 송파구 가락로11길 19 
1008,현대슈퍼,자동,"서울 중랑구 봉우재로 203-1,(망우동) "
1008,삼각R복권방,수동,대구 남구 현충로 221 솔내음발연구소 내
1008,삼각R복권방,수동,대구 남구 현충로 221 솔내음발연구소 내
1008,드림월드복권,자동,인천 남동구 만수로27번길 3 
1008,로또대박,자동,세종  장척로 571 
1008,현대25시편의점,자동,경기 고양시 일산서구 경의로 914 
1008,대박찬스,자동,충북 청주시 흥덕구 가경로161번길 3 
1008,노형로또마트,자동,제주 제주시 수덕로 6 
1009,명동역5번출구가판,자동,서울 중구 퇴계로 115 
1009,토스터리 아리울,자동,부산 동구 중앙대로286번길 3-1 
1009,행운복권방,수동,부산 부산진구 냉정로 273 
1009,대원슈퍼마켓,자동,부산 수영구 수영로 524 
1009,금강복권,자동,경기 김포시 율생로 3 
1009,일등복권,수동,"경기 성남시 분당구 성남대로331번길 3-3 110호 (정자동, 젤존타워3)"
1009,비나리,자동,경기 수원시 권선구 금호로 67 (금곡동)
1009,서부역지점,자동,경기 평택시 원평로 55 1층
1009,향남복권,수동,경기 화성시 행정서로1길 30 
1009,거두리복권방,자동,강원 춘천시 거두택지길 25 부영아파트 부영아파트제상가1-102호
1009,황금손복권판매점,자동,전북 전주시 완산구 어은로 9 1층
1009,파워할인마트,자동,경북 김천시 자산로 44-2 1층 파워할인마트내
1009,삼정상회,수동,경남 김해시 활천로 23 가동 109호 복권판매점
1009,부강 돈벼락,수동,경남 양산시 물금로 41 양산물금양우내안애5차리버파크 상가108호 양우대산부동산 내
1009,제주대림점,자동,제주 제주시 과원북2길 48 
1010,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr) 
1010,지에스25 신매태왕점로또,자동,대구 수성구 욱수천로 70 편의점_GS25
1010,한꿈복권방,자동,울산 중구 번영로 586 
1010,복권 판매점,자동,경기 구리시 안골로 103 
1010,로또25시,수동,경기 수원시 권선구 금곡로102번길 15 비즈웍스 비즈웍스 111호
1010,춘향로또,수동,전북 남원시 동림로 102-1 
1010,대박복권방,자동,경북 구미시 인동36길 34 
1010,억만금로또복권,자동,경남 사천시 주공로 60 용강현대아파트 현대상가 1동 101호
1011,버스카드판매대,자동,서울 관악구 신림로 145-2 
1011,지에스(GS)25대전코젤점,자동,대전 유성구 계백로 927 코젤병원 1층 GS25편의점
1011,복권나라,수동,경기 수원시 장안구 장안로 288 수단란주점 1층
1011,오뚜기로또,수동,경기 안산시 단원구 원초로 30 보성프라자 143호
1011,J마트,수동,경기 안양시 만안구 안양로 145-1 
1011,규암복권판매점,자동,충남 부여군 자온로 61 
1011,노다지복권방,자동,충남 천안시 동남구 원성천1길 151 2호
1011,좋은사람들로또,수동,전남 보성군 현충로 85 
1011,돈벼락맞는곳,자동,경남 김해시 김해대로 2793 복권판매점
1011,희망슈퍼,수동,경남 창원시 의창구 원이대로279번길 17 
1011,동홍코사마트,자동,제주 서귀포시 동홍북로 10 동홍코사마트 동홍코사마트내
1012,복권천하,자동,"서울 강북구 월계로7나길 23,(미아동) "
1012,노다지,자동,서울 동대문구 한천로 55 
1012,세계로생활가전,수동,서울 동작구 보라매로 104 1층
1012,복권천국,자동,서울 서초구 서초대로 97 1층
1012,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr) 
1012,종국이두마리치킨불로점,자동,대구 동구 팔공로30길 6 
1012,이마트24 대구북구매천점,자동,대구 북구 매전로4길 22 1층(매천동)
1012,명당로또,자동,울산 남구 팔등로 65 
1012,명당슈퍼,자동,경기 수원시 영통구 중부대로 285 김환규산부인과 
1012,천하명당,자동,경기 평택시 탄현로 224 
1012,복권명당,자동,충남 공주시 번영1로 41 
1012,차암일등로또,자동,충남 천안시 서북구 밤개울1길 1-5 
1012,로또복권판매점,자동,전북 남원시 가방뜰길 57 금동휴먼시아 상가
1013,삼성마트,자동,서울 강남구 선릉로 628 
1013,스파,자동,서울 노원구 동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111
1013,가로가판대제57호(구),자동,서울 중구 세종대로14길 6-2 
1013,부일카서비스,자동,부산 동구 자성로133번길 35 
1013,장원로또,자동,경기 수원시 영통구 중부대로246번길 10 1층 3호
1014,서울구가-17가판,자동,서울 구로구 구로동로 130-2 구로4동우체국앞가판
1014,가로판매점,수동,서울 용산구 한강대로 114 신용산역 1번출구앞 가판
1014,갈렙분식한식,수동,서울 중랑구 용마산로115길 92 
1014,현대슈퍼,수동,광주 서구 상무대로 871 
1014,가판점,자동,경기 부천시 부일로459번길 8 국민은행버스정류장 옆 가판
1014,금곡로,자동,"경기 수원시 권선구 금곡로197번길 18-23 해피라움블루 105호(금곡동, 해피라움블루)"
1014,로또복권방,반자동,충남 천안시 서북구 쌍용대로 190 상가3호
1014,행운플러스,수동,전북 전주시 덕진구 송천로 1 
1014,드림마트,자동,경남 김해시 인제로170번길 15-6 씨스페이스편의점 내
1014,스마일,반자동,경남 양산시 북안남4길 2 복권판매점
1015,오렌지데이편의점,수동,부산 해운대구 좌동순환로249번길 11 르네상스오피스102호
1015,복권명당(영남점),수동,"대구 달서구 월배로 122,(진천동) "
1015,1등로또방,자동,광주 동구 중앙로 249-2 
1015,오천억복권방,자동,광주 서구 상무대로 1087 
1015,돈방석,수동,경기 수원시 장안구 송정로 170 1층 101호(조원동)
1015,복권천국,수동,전남 여수시 선소로 62 부영아파트상가4동1-2호
1015,큐마트학동점로또,수동,전남 여수시 학동서5길 2 큐마트내
1015,부강 돈벼락,자동,경남 양산시 물금로 41 양산물금양우내안애5차리버파크 상가108호 양우대산부동산 내
1016,나눔로또 석촌점,수동,서울 송파구 백제고분로27길  34 1층
1016,가판14호,자동,서울 중구 퇴계로 37 
1016,가판14호,자동,서울 중구 퇴계로 37 
1016,희망복권방,자동,"부산 동래구 명장로20번길 26,(명장동) "
1016,운수대통,자동,인천 부평구 동암광장로 6 1층 A호
1016,우두로또,자동,강원 춘천시 영서로 2786 1층
1016,국영슈퍼,자동,충남 아산시 시민로 366 
1016,종합복권방,자동,전남 해남군 해남로 34 종합복권방편의점 
1016,고현시장만남의광장복권방,자동,경남 거제시 거제중앙로19길 8 102호
1016,호박넝쿨복권방,자동,경남 김해시 여래로20번길 50-7 103호
1016,지에스(GS25)뉴양산혜인점,자동,경남 양산시 웅상대로 955 GS편의점
1017,베네시티앞가판,자동,서울 강동구 올림픽로 664 대우베네시티cafe7gram앞
1017,대박복권방,수동,서울 구로구 개봉로17길 18 
1017,복권명당,자동,서울 동작구 국사봉길 26 
1017,SK 복권방,자동,인천 미추홀구 용정공원로 33 인천SKSkyVIEW 상가 A-2동 1층 104호
1017,로또판매점,자동,경기 김포시 김포한강2로 208 고창마을케이시시스위첸아파트 스웨첸아파트상가1동101호씨유kcc점
1017,슈퍼맨편의점,자동,강원 강릉시 경강로 2113 꽃사슴복권방
1017,행운복권,자동,충북 제천시 명륜로 67 1층
1018,씨스페이스 범어사역점,자동,부산 금정구 중앙대로 2097 1층
1018,노다지복권방,자동,인천 미추홀구 한나루로 400 학익시장 외7필지125호
1019,미나식품(로또판매점),수동,서울 강서구 금낭화로 91-12 
1019,장수복권,수동,서울 관악구 난곡로 223 1층
1019,Today,수동,서울 광진구 광나루로56길 85 테크노마트9층판매동24호
1019,종합가판점,수동,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
